city_a,city_b,country_a,country_b,iana_a,iana_b,overlap_jan_minutes,overlap_jul_minutes
Abu Dhabi,New Delhi,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,New York,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Nicosia,UAE,Cyprus,Asia/Dubai,Asia/Nicosia,360,420
Abu Dhabi,Ningbo,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Orlando,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Osaka,UAE,Japan,Asia/Dubai,Asia/Tokyo,180,180
Abu Dhabi,Oslo,UAE,Norway,Asia/Dubai,Europe/Oslo,300,360
Abu Dhabi,Panama City,UAE,Panama,Asia/Dubai,America/Panama,0,0
Abu Dhabi,Paris,UAE,France,Asia/Dubai,Europe/Paris,300,360
Abu Dhabi,Penang,UAE,Malaysia,Asia/Dubai,Asia/Kuala_Lumpur,240,240
Abu Dhabi,Perth,UAE,Australia,Asia/Dubai,Australia/Perth,240,240
Abu Dhabi,Philadelphia,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Phnom Penh,UAE,Cambodia,Asia/Dubai,Asia/Phnom_Penh,300,300
Abu Dhabi,Phoenix,UAE,US,Asia/Dubai,America/Phoenix,0,0
Abu Dhabi,Pittsburgh,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Ponta Delgada,UAE,Portugal (Azores),Asia/Dubai,Atlantic/Azores,180,240
Abu Dhabi,Port Louis,UAE,Mauritius,Asia/Dubai,Indian/Mauritius,480,480
Abu Dhabi,Porto,UAE,Portugal,Asia/Dubai,Europe/Lisbon,240,300
Abu Dhabi,Poznan,UAE,Poland,Asia/Dubai,Europe/Warsaw,300,360
Abu Dhabi,Prague,UAE,Czechia,Asia/Dubai,Europe/Prague,300,360
Abu Dhabi,Praia,UAE,Cape Verde,Asia/Dubai,Atlantic/Cape_Verde,180,180
Abu Dhabi,Pune,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,Qingdao,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Quito,UAE,Ecuador,Asia/Dubai,America/Guayaquil,0,0
Abu Dhabi,Riga,UAE,Latvia,Asia/Dubai,Europe/Riga,360,420
Abu Dhabi,Rio de Janeiro,UAE,Brazil,Asia/Dubai,America/Sao_Paulo,60,60
Abu Dhabi,Riyadh,UAE,Saudi Arabia,Asia/Dubai,Asia/Riyadh,420,420
Abu Dhabi,Rome,UAE,Italy,Asia/Dubai,Europe/Rome,300,360
Abu Dhabi,Rotterdam,UAE,Netherlands,Asia/Dubai,Europe/Amsterdam,300,360
Abu Dhabi,San Diego,UAE,US,Asia/Dubai,America/Los_Angeles,0,0
Abu Dhabi,San Francisco,UAE,US,Asia/Dubai,America/Los_Angeles,0,0
Abu Dhabi,San Jose (CA),UAE,US,Asia/Dubai,America/Los_Angeles,0,0
Abu Dhabi,San José (Costa Rica),UAE,Costa Rica,Asia/Dubai,America/Costa_Rica,0,0
Abu Dhabi,San Salvador,UAE,El Salvador,Asia/Dubai,America/El_Salvador,0,0
Abu Dhabi,Santiago,UAE,Chile,Asia/Dubai,America/Santiago,60,0
Abu Dhabi,Santo Domingo,UAE,Dominican Republic,Asia/Dubai,America/Santo_Domingo,0,0
Abu Dhabi,Sao Paulo,UAE,Brazil,Asia/Dubai,America/Sao_Paulo,60,60
Abu Dhabi,Seattle,UAE,US,Asia/Dubai,America/Los_Angeles,0,0
Abu Dhabi,Seoul,UAE,South Korea,Asia/Dubai,Asia/Seoul,180,180
Abu Dhabi,Shanghai,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Shenyang,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Shenzhen,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Singapore,UAE,Singapore,Asia/Dubai,Asia/Singapore,240,240
Abu Dhabi,Sofia,UAE,Bulgaria,Asia/Dubai,Europe/Sofia,360,420
Abu Dhabi,St Louis,UAE,US,Asia/Dubai,America/Chicago,0,0
Abu Dhabi,St. John's,UAE,Canada,Asia/Dubai,America/St_Johns,30,90
Abu Dhabi,Stockholm,UAE,Sweden,Asia/Dubai,Europe/Stockholm,300,360
Abu Dhabi,Stuttgart,UAE,Germany,Asia/Dubai,Europe/Berlin,300,360
Abu Dhabi,Surabaya,UAE,Indonesia,Asia/Dubai,Asia/Jakarta,300,300
Abu Dhabi,Suva,UAE,Fiji,Asia/Dubai,Pacific/Fiji,0,0
Abu Dhabi,Suzhou,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Sydney,UAE,Australia,Asia/Dubai,Australia/Sydney,60,120
Abu Dhabi,Taipei,UAE,Taiwan,Asia/Dubai,Asia/Taipei,240,240
Abu Dhabi,Taiyuan,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Tampa,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Tbilisi,UAE,Georgia,Asia/Dubai,Asia/Tbilisi,480,480
Abu Dhabi,Tegucigalpa,UAE,Honduras,Asia/Dubai,America/Tegucigalpa,0,0
Abu Dhabi,Tehran,UAE,Iran,Asia/Dubai,Asia/Tehran,450,450
Abu Dhabi,Tel Aviv,UAE,Israel,Asia/Dubai,Asia/Jerusalem,360,420
Abu Dhabi,Tianjin,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Tirana,UAE,Albania,Asia/Dubai,Europe/Tirane,300,360
Abu Dhabi,Tokyo,UAE,Japan,Asia/Dubai,Asia/Tokyo,180,180
Abu Dhabi,Toronto,UAE,Canada,Asia/Dubai,America/Toronto,0,0
Abu Dhabi,Tunis,UAE,Tunisia,Asia/Dubai,Africa/Tunis,300,300
Abu Dhabi,Turin,UAE,Italy,Asia/Dubai,Europe/Rome,300,360
Abu Dhabi,Valencia,UAE,Spain,Asia/Dubai,Europe/Madrid,300,360
Abu Dhabi,Vancouver,UAE,Canada,Asia/Dubai,America/Vancouver,0,0
Abu Dhabi,Vienna,UAE,Austria,Asia/Dubai,Europe/Vienna,300,360
Abu Dhabi,Warsaw,UAE,Poland,Asia/Dubai,Europe/Warsaw,300,360
Abu Dhabi,Washington DC,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Wellington,UAE,New Zealand,Asia/Dubai,Pacific/Auckland,0,0
Abu Dhabi,Wroclaw,UAE,Poland,Asia/Dubai,Europe/Warsaw,300,360
Abu Dhabi,Wuhan,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Xiamen,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Xian,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Yangon,UAE,Myanmar,Asia/Dubai,Asia/Yangon,330,330
Abu Dhabi,Yuzhno-Sakhalinsk,UAE,Russia,Asia/Dubai,Asia/Sakhalin,60,60
Abu Dhabi,Zagreb,UAE,Croatia,Asia/Dubai,Europe/Zagreb,300,360
Abu Dhabi,Zhengzhou,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Zurich,UAE,Switzerland,Asia/Dubai,Europe/Zurich,300,360
Accra,Adelaide,Ghana,Australia,Africa/Accra,Australia/Adelaide,0,0
Accra,Ahmedabad,Ghana,India,Africa/Accra,Asia/Kolkata,150,150
Accra,Almaty,Ghana,Kazakhstan,Africa/Accra,Asia/Almaty,180,180
Accra,Amman,Ghana,Jordan,Africa/Accra,Asia/Amman,300,300
Accra,Amsterdam,Ghana,Netherlands,Africa/Accra,Europe/Amsterdam,420,360
Accra,Anchorage,Ghana,US,Africa/Accra,America/Anchorage,0,0
Accra,Antalya,Ghana,Turkey,Africa/Accra,Europe/Istanbul,300,300
Accra,Antwerp,Ghana,Belgium,Africa/Accra,Europe/Brussels,420,360
Accra,Apia,Ghana,Samoa,Africa/Accra,Pacific/Apia,0,0
Accra,Athens,Ghana,Greece,Africa/Accra,Europe/Athens,360,300
Accra,Atlanta,Ghana,US,Africa/Accra,America/New_York,180,240
Accra,Auckland,Ghana,New Zealand,Africa/Accra,Pacific/Auckland,0,0
Accra,Austin,Ghana,US,Africa/Accra,America/Chicago,120,180
Accra,Baku,Ghana,Azerbaijan,Africa/Accra,Asia/Baku,240,240
Accra,Baltimore,Ghana,US,Africa/Accra,America/New_York,180,240
Accra,Bangalore,Ghana,India,Africa/Accra,Asia/Kolkata,150,150
Accra,Bangkok,Ghana,Thailand,Africa/Accra,Asia/Bangkok,60,60
Accra,Barcelona,Ghana,Spain,Africa/Accra,Europe/Madrid,420,360
Accra,Beijing,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Beirut,Ghana,Lebanon,Africa/Accra,Asia/Beirut,360,300
Accra,Belgrade,Ghana,Serbia,Africa/Accra,Europe/Belgrade,420,360
Accra,Berlin,Ghana,Germany,Africa/Accra,Europe/Berlin,420,360
Accra,Bilbao,Ghana,Spain,Africa/Accra,Europe/Madrid,420,360
Accra,Birmingham (UK),Ghana,UK,Africa/Accra,Europe/London,480,420
Accra,Bogota,Ghana,Colombia,Africa/Accra,America/Bogota,180,180
Accra,Bologna,Ghana,Italy,Africa/Accra,Europe/Rome,420,360
Accra,Boston,Ghana,US,Africa/Accra,America/New_York,180,240
Accra,Bratislava,Ghana,Slovakia,Africa/Accra,Europe/Bratislava,420,360
Accra,Brisbane,Ghana,Australia,Africa/Accra,Australia/Brisbane,0,0
Accra,Bristol,Ghana,UK,Africa/Accra,Europe/London,480,420
Accra,Brussels,Ghana,Belgium,Africa/Accra,Europe/Brussels,420,360
Accra,Bucharest,Ghana,Romania,Africa/Accra,Europe/Bucharest,360,300
Accra,Budapest,Ghana,Hungary,Africa/Accra,Europe/Budapest,420,360
Accra,Buenos Aires,Ghana,Argentina,Africa/Accra,America/Argentina/Buenos_Aires,300,300
Accra,Cairo,Ghana,Egypt,Africa/Accra,Africa/Cairo,360,300
Accra,Calgary,Ghana,Canada,Africa/Accra,America/Edmonton,60,120
Accra,Cali,Ghana,Colombia,Africa/Accra,America/Bogota,180,180
Accra,Cape Town,Ghana,South Africa,Africa/Accra,Africa/Johannesburg,360,360
Accra,Caracas,Ghana,Venezuela,Africa/Accra,America/Caracas,240,240
Accra,Casablanca,Ghana,Morocco,Africa/Accra,Africa/Casablanca,420,420
Accra,Cebu,Ghana,Philippines,Africa/Accra,Asia/Manila,0,0
Accra,Changchun,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Changsha,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Charlotte,Ghana,US,Africa/Accra,America/New_York,180,240
Accra,Chengdu,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Chennai,Ghana,India,Africa/Accra,Asia/Kolkata,150,150
Accra,Chicago,Ghana,US,Africa/Accra,America/Chicago,120,180
Accra,Chongqing,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Cleveland,Ghana,US,Africa/Accra,America/New_York,180,240
Accra,Cluj-Napoca,Ghana,Romania,Africa/Accra,Europe/Bucharest,360,300
Accra,Colombo,Ghana,Sri Lanka,Africa/Accra,Asia/Colombo,150,150
Accra,Copenhagen,Ghana,Denmark,Africa/Accra,Europe/Copenhagen,420,360
Accra,Cordoba,Ghana,Argentina,Africa/Accra,America/Argentina/Cordoba,300,300
Accra,Da Nang,Ghana,Vietnam,Africa/Accra,Asia/Ho_Chi_Minh,60,60
Accra,Dalian,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Dallas,Ghana,US,Africa/Accra,America/Chicago,120,180
Accra,Dar es Salaam,Ghana,Tanzania,Africa/Accra,Africa/Dar_es_Salaam,300,300
Accra,Darwin,Ghana,Australia,Africa/Accra,Australia/Darwin,0,0
Accra,Davao,Ghana,Philippines,Africa/Accra,Asia/Manila,0,0
Accra,Denver,Ghana,US,Africa/Accra,America/Denver,60,120
Accra,Detroit,Ghana,US,Africa/Accra,America/Detroit,180,240
Accra,Dhaka,Ghana,Bangladesh,Africa/Accra,Asia/Dhaka,120,120
Accra,Doha,Ghana,Qatar,Africa/Accra,Asia/Qatar,300,300
Accra,Dubai,Ghana,UAE,Africa/Accra,Asia/Dubai,240,240
Accra,Dublin,Ghana,Ireland,Africa/Accra,Europe/Dublin,480,420
Accra,Dusseldorf,Ghana,Germany,Africa/Accra,Europe/Berlin,420,360
Accra,Edinburgh,Ghana,UK,Africa/Accra,Europe/London,480,420
Accra,Frankfurt,Ghana,Germany,Africa/Accra,Europe/Berlin,420,360
Accra,Fuzhou,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Gdansk,Ghana,Poland,Africa/Accra,Europe/Warsaw,420,360
Accra,Geneva,Ghana,Switzerland,Africa/Accra,Europe/Zurich,420,360
Accra,Guadalajara,Ghana,Mexico,Africa/Accra,America/Mexico_City,120,120
Accra,Guangzhou,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Guatemala City,Ghana,Guatemala,Africa/Accra,America/Guatemala,120,120
Accra,Haikou,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Halifax,Ghana,Canada,Africa/Accra,America/Halifax,240,300
Accra,Hamburg,Ghana,Germany,Africa/Accra,Europe/Berlin,420,360
Accra,Hangzhou,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Hanoi,Ghana,Vietnam,Africa/Accra,Asia/Ho_Chi_Minh,60,60
Accra,Harbin,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Hefei,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Helsinki,Ghana,Finland,Africa/Accra,Europe/Helsinki,360,300
Accra,Ho Chi Minh City,Ghana,Vietnam,Africa/Accra,Asia/Ho_Chi_Minh,60,60
Accra,Hong Kong,Ghana,China,Africa/Accra,Asia/Hong_Kong,0,0
Accra,Honolulu,Ghana,US,Africa/Accra,Pacific/Honolulu,0,0
Accra,Houston,Ghana,US,Africa/Accra,America/Chicago,120,180
Accra,Hyderabad,Ghana,India,Africa/Accra,Asia/Kolkata,150,150
Accra,Islamabad,Ghana,Pakistan,Africa/Accra,Asia/Karachi,180,180
Accra,Istanbul,Ghana,Turkey,Africa/Accra,Europe/Istanbul,300,300
Accra,Jakarta,Ghana,Indonesia,Africa/Accra,Asia/Jakarta,60,60
Accra,Jeddah,Ghana,Saudi Arabia,Africa/Accra,Asia/Riyadh,300,300
Accra,Jinan,Ghana,China,Africa/Accra,Asia/Shanghai,0,0
Accra,Johannesburg,Ghana,South Africa,Africa/Accra,Africa/Johannesburg,360,360
Accra,Kabul,Ghana,Afghanistan,Africa/Accra,Asia/Kabul,210,210
Accra,Kampala,Ghana,Uganda,Africa/Accra,Africa/Kampala,300,300
Accra,Karachi,Ghana,Pakistan,Africa/Accra,Asia/Karachi,180,180
